"cite.key","smd","se","upper","lower","pop_cn","pop_sn","group","exposure","outcome","functional_group","trophic_level","treatment","control","n"
"severcanEffectsFlockSize2011",2.72136092289117,0.234479313088078,3.18094037654381,2.26178146923854,"Eurasian Coot","Fulica Atra","","active disturbance","foraging","herbivore","1",NA,NA,NA
"severcanEffectsFlockSize2011",10.6075467316993,0.656040057322009,11.8933852440505,9.3217082193482,"Eurasian Coot","Fulica Atra","","active disturbance","vigilance","herbivore","1",NA,NA,NA
"shannonBehavioralResponsesAssociated2014",-3.84937167154627,0.0855010027952138,-4.01695363702489,-3.68178970606765,"Pronghorn","Antilocapra Americana","","passive disturbance","foraging","herbivore","1",NA,NA,NA
"shannonBehavioralResponsesAssociated2014",-3.92460175943348,0.0514511746624503,-4.02544606177188,-3.82375745709507,"Elk","Cervus Elaphus","","passive disturbance","foraging","herbivore","1",NA,NA,NA
"smithFearHumanSuper2017",-1.92045493453009,0.45875471021492,-1.02129570250885,-2.81961416655133,"Puma","Puma Concolor","","human playback","foraging","carnivore","3",NA,NA,NA
"brosethDisturbanceEffectsHunting2010",NA,NA,NA,NA,"Willow Ptarmigan",NA,"","hunting","movement",NA,NA,NA,NA,NA
"brosethDisturbanceEffectsHunting2010",0.884352842945382,0.373546877484377,1.61650472281476,0.152200963076003,"Willow Ptarmigan",NA,"","hunting","movement",NA,NA,NA,NA,NA
"mccormickBoatNoiseImpacts2018",1.63431789084905,0.399225945053659,2.41680074315422,0.851835038543881,"Ward's Damsel Fish",NA,"2-stroke engine","passive disturbance","movement",NA,NA,NA,NA,NA
"mccormickBoatNoiseImpacts2018",0,0.342997170285018,0.672274453758635,-0.672274453758635,"Ward's Damsel Fish",NA,"4-stroke engine","passive disturbance","movement",NA,NA,NA,NA,NA
"brownEvaluatingIndirectEffects2020",11.0879540890351,0.892899666918621,12.8380374361956,9.33787074187465,"Mule Deer",NA,"daily diurnal movements","hunting","movement",NA,NA,NA,NA,NA
"brownEvaluatingIndirectEffects2020",-3.20251425617055,0.331897917843573,-2.55199433719715,-3.85303417514395,"Mule Deer",NA,"daily nocturnal movements","hunting","movement",NA,NA,NA,NA,NA
"picardiMovementResponsesRoe2019",-4.48134877921196,1.37275757096397,-1.79074394012258,-7.17195361830134,"Roe Deer","Capreolus Capreolus","male","hunting","movement","herbivore","1",NA,NA,NA
"picardiMovementResponsesRoe2019",-4.30010691574682,1.02770096055866,-2.28581303305185,-6.31440079844179,"Roe Deer","Capreolus Capreolus","female","hunting","movement","herbivore","1",NA,NA,NA
"bhardwajInducingFearUsing2022",-11.6229661908904,0.00653877837651852,-11.6101501852724,-11.6357821965084,"Moose","Alces Alces","human",NA,"vigilance","herbivore","1",NA,NA,NA
"bhardwajInducingFearUsing2022",-8.08393852946754,0.0279566697812193,-8.02914345669635,-8.13873360223873,"Moose","Alces Alces","human",NA,"foraging","herbivore","1",NA,NA,NA
"clinchyFearHumanSuper2016",-0.637708987646837,10.9767937030811,20.876806670392,-22.1522246456857,"Badger","Meles Meles","human",NA,"foraging","omnivore","2",NA,NA,NA
"clinchyFearHumanSuper2016",-0.388473057066371,5.92061652195107,11.2159353259577,-11.9928814400905,"Badger","Meles Meles","human",NA,"vigilance","omnivore","2",NA,NA,NA
"montero-quintanaEcotourismImpactsBehaviour2020",-1.32582521472478,0.113137084989848,-1.10407652814468,-1.54757390130488,"Whale Shark","Rhincodon Typus","",NA,"foraging","herbivore","1",NA,NA,NA
"montero-quintanaEcotourismImpactsBehaviour2020",1.84210526315789,0.38,2.58690526315789,1.09730526315789,"Whale Shark","Rhincodon Typus","",NA,"vigilance","herbivore","1",NA,NA,NA
"rodeBehavioralResponsesBrown2006",NA,NA,NA,NA,"Brown Bear","Ursus Arctos","salt marsh/male",NA,"foraging","omnivore","3",NA,NA,NA
"rodeBehavioralResponsesBrown2006",NA,NA,NA,NA,"Brown Bear","Ursus Arctos","salt marsh",NA,"foraging","omnivore","3",NA,NA,NA
"rodeBehavioralResponsesBrown2006",NA,NA,NA,NA,"Brown Bear","Ursus Arctos","river",NA,"foraging","omnivore","3",NA,NA,NA
"camillewardPredictorsVigilanceAmerican1997",0.722729988237994,0.21521398143196,1.14454164081411,0.30091833566188,"American Crow","Corvus Branchyrhynchos","","passive disturbance","vigilance","omnivore","2","passive disturbance","none",46
"cappaEffectsRoadsBehaviour2017",-0.668964635466742,0.110807774601205,-0.451785388041348,-0.886143882892136,"Guanco","Lama Guanicoe","","passive disturbance","vigilance","herbivore","1","passive disturbance","none",172
"cappaEffectsRoadsBehaviour2017",-0.668964635466742,0.110807774601205,-0.451785388041348,-0.886143882892136,"Guanco","Lama Guanicoe","","passive disturbance","foraging","herbivore","1","passive disturbance","none",182
"cappaEffectsRoadsBehaviour2017",0.0764163469157101,0.10486673553912,0.281951371748672,-0.129118677917252,"Guanco","Lama Guanicoe","","passive disturbance","vigilance","herbivore","1","passive disturbance","none",172
"cappaEffectsRoadsBehaviour2017",0.0764163469157101,0.10486673553912,0.281951371748672,-0.129118677917252,"Guanco","Lama Guanicoe","","passive disturbance","foraging","herbivore","1","passive disturbance","none",182
"chen-krausHumanLemurCoexistenceMultipleUse2022",0.358769186092285,0.19961624124571,0.750009829663134,-0.0324714574785647,"Verreaux’s Sifaka","Propicthecus Verreauxi","","passive disturbance","vigilance","herbivore","1","passive disturbance","none",51
"chen-krausHumanLemurCoexistenceMultipleUse2022",0.358769186092285,0.19961624124571,0.750009829663134,-0.0324714574785647,"Verreaux’s Sifaka","Propicthecus Verreauxi","","passive disturbance","foraging","herbivore","1","passive disturbance","none",51
"chen-krausHumanLemurCoexistenceMultipleUse2022",-0.120046415060535,0.198207792799168,0.268433720281013,-0.508526550402082,"Verreaux’s Sifaka","Propicthecus Verreauxi","","passive disturbance","vigilance","herbivore","1","passive disturbance","none",51
"chen-krausHumanLemurCoexistenceMultipleUse2022",-0.120046415060535,0.198207792799168,0.268433720281013,-0.508526550402082,"Verreaux’s Sifaka","Propicthecus Verreauxi","","passive disturbance","foraging","herbivore","1","passive disturbance","none",51
"crosmaryVulnerabilityPredationWater2012",0.25368260388227,0.0868958806098382,0.423995400282446,0.0833698074820951,"Impala","Aepyceros Melampus","","hunting","vigilance","herbivore","1","Control:hunted","negative control",267
"crosmaryVulnerabilityPredationWater2012",0.403686174967793,0.108297712056076,0.61594579020579,0.191426559729796,"Impala","Aepyceros Melampus","","hunting","vigilance","herbivore","1","Control:hunted","negative control",267
"crosmaryVulnerabilityPredationWater2012",0.810614103238642,0.202077596066291,1.20667891361101,0.414549292866279,"Impala","Aepyceros Melampus","","hunting","vigilance","herbivore","1","Control:hunted","negative control",267
"peksaDaytimeActivityBudget2018",0.024504952659661,0.117855553161257,0.255497592233771,-0.206487686914449,"Tatra Chamois","Rupicapra Rupicapra Tatrica","","passive disturbance","vigilance","herbivore","1","passive disturbance","none",144
"reimersVigilanceFrightBehaviour2011",5.00783068623669,0.171244837842199,5.3434644009458,4.67219697152758,"Svalbard Reindeer","Rangifer Tarandus Platyrhynchus","","active disturbance","vigilance","herbivore","1","active disturbance","negative control",282
"reimersVigilanceFrightBehaviour2011",0.758476999598001,0.0852478309228461,0.925559677966939,0.591394321229063,"Svalbard Reindeer","Rangifer Tarandus Platyrhynchus","","active disturbance","vigilance","herbivore","1","active disturbance","negative control",282
"reimersVigilanceFrightBehaviour2011",-0.0293616000889532,0.0842197296229676,0.135706036759764,-0.194429236937671,"Svalbard Reindeer","Rangifer Tarandus Platyrhynchus","","active disturbance","vigilance","herbivore","1","active disturbance","negative control",282
"reimersVigilanceFrightBehaviour2011",-0.0314279145794798,0.0823437797441612,0.129962928069975,-0.192818757228934,"Svalbard Reindeer","Rangifer Tarandus Platyrhynchus","","active disturbance","vigilance","herbivore","1","active disturbance","negative control",282
"shannonRoadTrafficNoise2014",-0.338731750982404,0.318487425166277,0.285492131872395,-0.962955633837203,"Prairie Dog","Cynomus Ludovicianus","","passive disturbance","foraging","herbivore","1","control:treatment","negative control",20
"shannonRoadTrafficNoise2014",-0.338731750982404,0.318487425166277,0.285492131872395,-0.962955633837203,"Prairie Dog","Cynomus Ludovicianus","","passive disturbance","vigilance","herbivore","1","control:treatment","negative control",20
"shannonRoadTrafficNoise2014",0.527245401698436,0.321675063410504,1.15771694070766,-0.10322613731079,"Prairie Dog","Cynomus Ludovicianus","","passive disturbance","foraging","herbivore","1","control:treatment","negative control",20
"shannonRoadTrafficNoise2014",0.527245401698436,0.321675063410504,1.15771694070766,-0.10322613731079,"Prairie Dog","Cynomus Ludovicianus","","passive disturbance","vigilance","herbivore","1","control:treatment","negative control",20
"sonnichsenBehaviouralResponsesEuropean2013",0.15939376688247,0.152740530602469,0.458759705842848,-0.139972172077907,"Roe Deer","Capreolus Capreolus","","hunting/natural predator","vigilance","herbivore","1","treatment:control","negative control",86
"uchidaHabituationSensitizationLongterm2021",-0.0881428767765935,0.0795943491506399,0.0678591809315669,-0.244144934484754,"Yellowbellied Marmot","Marmota Flaviventris","","active disturbance","vigilance","herbivore","1","control:disturbance","none",316
