"cite.key","smd","se","upper","lower","pop_cn","pop_sn","group","exposure","outcome","functional_group","trophic_level","treatment","control","n"
"zhengDeterminantsVigilanceReintroduced2013",2.89794409883973,0.337454523685126,3.55934281168269,2.23654538599676,"Pere David’s Deer","Elaphurus Davidianus","male","active disturbance","vigilance","herbivore","1",NA,NA,NA
"brosethDisturbanceEffectsHunting2010",3.60910488437253,0.569456960133349,4.72522001697956,2.49298975176551,"Willow Ptarmigan","Lagopus Lagopus","","hunting","movement","granivore","1",NA,NA,NA
"mccormickBoatNoiseImpacts2018",0.400509995981042,0.346418827112006,1.07947842068718,-0.278458428725098,"Ward's Damsel Fish","Chromis Wardi","2-stroke engine","passive disturbance","movement","herbivore","1",NA,NA,NA
"mccormickBoatNoiseImpacts2018",0,0.342997170285018,0.672262100557787,-0.672262100557787,"Ward's Damsel Fish","Chromis Wardi","2-stroke engine","passive disturbance","movement","herbivore","1",NA,NA,NA
"brownEvaluatingIndirectEffects2020",72.1459876358645,5.5704596779384,83.0638879819563,61.2280872897726,"Mule Deer","Odocoileus Hemionus","daily diurnal movements","hunting","movement","herbivore","1",NA,NA,NA
"brownEvaluatingIndirectEffects2020",-21.8773372735089,1.70192098429361,-18.5416334397605,-25.2130411072573,"Mule Deer","Odocoileus Hemionus","daily diurnal movements","hunting","movement","herbivore","1",NA,NA,NA
"picardiMovementResponsesRoe2019",-11.6783040813427,2.83316456572176,-6.12540357025296,-17.2312045924324,"Roe Deer","Capreolus Capreolus","male","hunting","movement","herbivore","1",NA,NA,NA
"picardiMovementResponsesRoe2019",-9.82629764660405,1.93239419817246,-6.03887461425188,-13.6137206789562,"Roe Deer","Capreolus Capreolus","male","hunting","movement","herbivore","1",NA,NA,NA
"bhardwajInducingFearUsing2022",14.1805109313153,0.516116972819856,15.1920816098521,13.1689402527785,"Moose","Alces Alces","human",NA,"vigilance","herbivore","1",NA,NA,NA
"bhardwajInducingFearUsing2022",-18.1620463721492,0.655586981824678,-16.8771194990395,-19.4469732452588,"Moose","Alces Alces","human",NA,"foraging","herbivore","1",NA,NA,NA
"clinchyFearHumanSuper2016",-2.7022789337008,0.279415492641656,-2.15463463140064,-3.24992323600096,"Badger","Meles Meles","human",NA,"foraging","omnivore","2",NA,NA,NA
"clinchyFearHumanSuper2016",-1.14417717777511,0.217934897297118,-0.717032628098322,-1.57132172745189,"Badger","Meles Meles","human",NA,"vigilance","omnivore","2",NA,NA,NA
"montero-quintanaEcotourismImpactsBehaviour2020",-4.40572897046493,0.317448743901106,-3.78354086548129,-5.02791707544858,"Whale Shark","Rhincodon Typus","",NA,"foraging","herbivore","1",NA,NA,NA
"montero-quintanaEcotourismImpactsBehaviour2020",10.7755559995363,0.839753099195691,12.4214418298658,9.12967016920688,"Whale Shark","Rhincodon Typus","",NA,"foraging","herbivore","1",NA,NA,NA
"rodeBehavioralResponsesBrown2006",-13.5765544002361,0.768770959690534,-12.0697910068824,-15.0833177935899,"Brown Bear","Ursus Arctos","salt marsh/male",NA,"foraging","omnivore","3",NA,NA,NA
"rodeBehavioralResponsesBrown2006",-12.5148604437407,0.876928982945653,-10.7961112201678,-14.2336096673135,"Brown Bear","Ursus Arctos","salt marsh/male",NA,"foraging","omnivore","3",NA,NA,NA
"rodeBehavioralResponsesBrown2006",6.24629726726879,0.196641372749727,6.63170727572877,5.86088725880881,"Brown Bear","Ursus Arctos","salt marsh/male",NA,"foraging","omnivore","3",NA,NA,NA
"camillewardPredictorsVigilanceAmerican1997",0.157741875571515,0.208838434786487,0.567057686340746,-0.251573935197715,"American Crow","Corvus Branchyrhynchos","","passive disturbance","vigilance","omnivore","2","passive disturbance","none",46
"cappaEffectsRoadsBehaviour2017",-1.06765549043236,0.115259365294776,-0.841751285573655,-1.29355969529107,"Guanco","Lama Guanicoe","","passive disturbance","vigilance","herbivore","1","passive disturbance","none",172
"cappaEffectsRoadsBehaviour2017",0.698280527624509,0.107975855151447,0.909909314921258,0.48665174032776,"Guanco","Lama Guanicoe","","passive disturbance","vigilance","herbivore","1","passive disturbance","none",172
"chen-krausHumanLemurCoexistenceMultipleUse2022",2.42243700950194,0.26073238726639,2.93346309814722,1.91141092085667,"Verreaux’s Sifaka","Propicthecus Verreauxi","","passive disturbance","vigilance","herbivore","1","passive disturbance","none",51
"chen-krausHumanLemurCoexistenceMultipleUse2022",-0.884637216133884,0.207489463519036,-0.477965340465037,-1.29130909180273,"Verreaux’s Sifaka","Propicthecus Verreauxi","","passive disturbance","vigilance","herbivore","1","passive disturbance","none",51
"cristinavallinoBehaviouralResponsesHuman2019",-3.5356982675362,0.182431103518394,-3.17813987498025,-3.89325666009215,"Alpine Chough","Pyrrhocorax Graculus","","active disturbance","foraging",NA,"1","active disturbance","negative control",154
"crosmaryVulnerabilityPredationWater2012",1.57905995382226,0.0991226982331674,1.7733368724097,1.38478303523482,"Impala","Aepyceros Melampus","","hunting","vigilance","herbivore","1","Control:hunted","negative control",267
"crosmaryVulnerabilityPredationWater2012",0.961782395606499,0.113240065005966,1.18372884462517,0.739835946587831,"Impala","Aepyceros Melampus","","hunting","vigilance","herbivore","1","Control:hunted","negative control",267
"crosmaryVulnerabilityPredationWater2012",1.36893108478307,0.215813208835673,1.79191720148901,0.945944968077127,"Impala","Aepyceros Melampus","","hunting","vigilance","herbivore","1","Control:hunted","negative control",267
"liQuantifyingHumanDisturbance2011",0.428894494128258,0.145987571594774,0.715024876644478,0.142764111612037,"Yellowbellied Marmot","Marmota Flaviventris","","active disturbance","vigilance","herbivore","1","active disturbance","none",96
"liQuantifyingHumanDisturbance2011",-0.341684659886128,0.145386951418318,-0.0567314712841506,-0.626637848488104,"Yellowbellied Marmot","Marmota Flaviventris","","active disturbance","vigilance","herbivore","1","active disturbance","none",96
"pecorellaEffectsCullingVigilance2016",-0.833886478369139,0.078809746763088,-0.679422213082765,-0.988350743655514,"Fallow Deer","Dama Dama","","hunting","foraging","herbivore","1","hunting","negative control",350
"pecorellaEffectsCullingVigilance2016",0.706274347071252,0.0779139793679585,0.858982940524648,0.553565753617857,"Fallow Deer","Dama Dama","","hunting","foraging","herbivore","1","hunting","negative control",350
"peksaDaytimeActivityBudget2018",2.11954610468757,0.147269568650534,2.40818915526136,1.83090305411377,"Tatra Chamois","Rupicapra Rupicapra Tatrica","","passive disturbance","vigilance","herbivore","1","passive disturbance","none",144
"reimersVigilanceFrightBehaviour2011",0.982903060860559,0.0891553072918595,1.15764425218321,0.808161869537913,"Svalbard Reindeer","Rangifer Tarandus Platyrhynchus","","active disturbance","vigilance","herbivore","1","active disturbance","negative control",282
"reimersVigilanceFrightBehaviour2011",1.23329245155583,0.0898256799144245,1.40934754907493,1.05723735403674,"Svalbard Reindeer","Rangifer Tarandus Platyrhynchus","","active disturbance","vigilance","herbivore","1","active disturbance","negative control",282
"reimersVigilanceFrightBehaviour2011",-0.708132138105969,0.0868144426420948,-0.537978957189545,-0.878285319022393,"Svalbard Reindeer","Rangifer Tarandus Platyrhynchus","","active disturbance","vigilance","herbivore","1","active disturbance","negative control",282
"reimersVigilanceFrightBehaviour2011",-0.953198489922163,0.086888723699299,-0.782899720808885,-1.12349725903544,"Svalbard Reindeer","Rangifer Tarandus Platyrhynchus","","active disturbance","vigilance","herbivore","1","active disturbance","negative control",282
"shannonRoadTrafficNoise2014",-1.79180708356321,0.374342300319963,-1.05810965704621,-2.52550451008022,"Prairie Dog","Cynomus Ludovicianus","","passive disturbance","foraging","herbivore","1","control:treatment","negative control",20
"shannonRoadTrafficNoise2014",2.6771778938915,0.435420507606459,3.5305864069303,1.82376938085269,"Prairie Dog","Cynomus Ludovicianus","","passive disturbance","foraging","herbivore","1","control:treatment","negative control",20
"sonnichsenBehaviouralResponsesEuropean2013",3.49447628215618,0.242392175060736,3.96955621540955,3.01939634890281,"Roe Deer","Capreolus Capreolus","","hunting/natural predator","vigilance","herbivore","1","treatment:control","negative control",86
"uchidaHabituationSensitizationLongterm2021",-1.82800979976882,0.0947248673626713,-1.64235247129765,-2.01366712823999,"Yellowbellied Marmot","Marmota Flaviventris","","active disturbance","vigilance","herbivore","1","control:disturbance","none",316
"brosethDisturbanceEffectsHunting2010",-0.201748355728048,0.24680845227409,0.28198732180924,-0.685484033265337,"Willow Ptarmigan","Lagopus Lagopus","","hunting","movement","granivore","1","hunting","negative control",33
