"cite.key","Title","Authors","year"
"januchowski-hartleyFearFishersHuman2011a","Fear of Fishers Human Predation Explains Behavioral Changes in Coral Reef Fishes","Fraser A. Januchowski-Hartley, Nicholas A. J. Graham, David A. Feary, Tau Morove, Joshua E. Cinner","2011"
"grignolioEffectsHuntingHounds2011","Effects of hunting with hounds on a non-target species living on the edge of a protected area","S. Grignolio, E. Merli, P. Bongi, S. Ciuti, M. Apollonio","2011"
"engelhardtEffectsLevelsHuman2011","Effects of levels of human exposure on flight initiation distance and distance to refuge in foraging eastern gray squirrels (Sciurus carolinensis)","SC Engelhardt, RB Weladji","2011"
"campbellPasserineReactionsHuman2011","Passerine reactions to human behaviour and vegetation structure in Peterborough, Canada","MO Campbell","2011"
"batemanWhoAreYou2011","Who are you looking at? Hadeda ibises use direction of gaze, head orientation and approach speed in their risk assessment of a potential predator","PW Bateman, PA Fleming","2011"
"wamOverlookingConcealedPredator2012","From overlooking to concealed predator avoidance in an apex carnivore","HK Wam, K Eldegard, O Hjeljord","2012"
"taraborelliCooperativeVigilanceGuanaco2012","Cooperative vigilance The guanaco's (Lama guanicoe) key antipredator mechanism","P Taraborelli, P Gregorio, P Moreno, A Novaro, P Carmanchahi","2012"
"tadesseImpactTourismNubian2012","Impact of tourism on Nubian Ibex (Capra nubiana) revealed through assessment of behavioral indicators","SA Tadesse, BP Kotler","2012"
"rasmussenMaskingZeitgeberAfrican2012","Masking of the zeitgeber African wild dogs mitigate persecution by balancing time","G.S.A. Rasmussen, D.W. MacDonald","2012"
"ordizBearsKnowThey2012","Do bears know they are being hunted?","Andrés Ordiz, Ole-Gunnar Støen, Solve Sæbø, Jonas Kindberg, Miguel Delibes, Jon E. Swenson","2012"
"mollerUrbanAreasRefuges2012","Urban areas as refuges from predators and flight distance of prey","AP Moller","2012"
"moenBehaviourSolitaryAdult2012","Behaviour of Solitary Adult Scandinavian Brown Bears (Ursus arctos) when Approached by Humans on Foot","GK Moen, OG Stoen, V Sahlen, JE Swenson","2012"
"keyelNOEVIDENCEINDIVIDUAL2012","NO EVIDENCE FOR INDIVIDUAL ASSORTMENT BY TEMPERAMENT RELATIVE TO PATCH AREA OR PATCH OPENNESS IN THE BOBOLINK","AC Keyel, DT Peck, JM Reed","2012"
"gyimesiHumanDisturbanceBewick2012","Human disturbance of Bewick's Swans is reflected in giving-up net energy intake rate, but not in giving-up food density","A Gyimesi, MS Franken, N Feige, BA Nolet","2012"
"griggForagingDistributionPacific2012","Foraging distribution of Pacific harbor seals (Phoca vitulina richardii) in a highly impacted estuary","EK Grigg, SG Allen, DE Craven-Green, AP Klimley, H Markowitz, DL Elliott-Fisk","2012"
"eldegardCopingHumandominatedLandscape2012","Coping in a human-dominated landscape trade-off between foraging and keeping away from roads by moose (Alces alces)","K Eldegard, JT Lyngved, O Hjeljord","2012"
