"cite.key","study_type","contrast_type","sampling","sampling_time","pop_cn","pop_sn","exposure_category","controls","outcome","outcomes","treatment","group","mean","scale","mean.unit","var","lower","upper","var.unit","multiplier","n","remarks","ratio"
"clinchyFearHumanSuper2016","playback","Auditory cues","FIS",150,"Badger","Meles meles","lethal interaction","negative control + positive control","vigilance","foraging rate + vigilance rate + foraging time + vigilance time","natural predator","wolf",27.3,"","time",50.96,NA,NA,"sd",-1,49,"",0.535714285714286
"clinchyFearHumanSuper2016","playback","Auditory cues","FIS",150,"Badger","Meles meles","lethal interaction","negative control + positive control","vigilance","foraging rate + vigilance rate + foraging time + vigilance time","positive control","wolf",18.9,"","time",23.87,NA,NA,"sd",-1,49,"",0.791788856304985
"clinchyFearHumanSuper2016","playback","Auditory cues","FIS",150,"Badger","Meles meles","lethal interaction","negative control + positive control","latency","foraging rate + vigilance rate + foraging time + vigilance time","natural predator","bear",89.1,"","time",63.98,NA,NA,"sd",-1,49,"",1.39262269459206
"clinchyFearHumanSuper2016","playback","Auditory cues","FIS",150,"Badger","Meles meles","lethal interaction","negative control + positive control","latency","foraging rate + vigilance rate + foraging time + vigilance time","positive control","bear",30.7,"","time",57.47,NA,NA,"sd",-1,49,"",0.534191752218549
"clinchyFearHumanSuper2016","playback","Auditory cues","FIS",150,"Badger","Meles meles","lethal interaction","negative control + positive control","latency","foraging rate + vigilance rate + foraging time + vigilance time","natural predator","dog",78.4,"","time",95.9,NA,NA,"sd",-1,49,"",0.817518248175183
"clinchyFearHumanSuper2016","playback","Auditory cues","FIS",150,"Badger","Meles meles","lethal interaction","negative control + positive control","latency","foraging rate + vigilance rate + foraging time + vigilance time","positive control","dog",30.7,"","time",57.47,NA,NA,"sd",-1,49,"",0.534191752218549
"clinchyFearHumanSuper2016","playback","Auditory cues","FIS",150,"Badger","Meles meles","lethal interaction","negative control + positive control","latency","foraging rate + vigilance rate + foraging time + vigilance time","hunted","human",143,"","time",116.2,NA,NA,"sd",-1,49,"",1.23063683304647
"clinchyFearHumanSuper2016","playback","Auditory cues","FIS",150,"Badger","Meles meles","lethal interaction","negative control + positive control","latency","foraging rate + vigilance rate + foraging time + vigilance time","positive control","human",30.7,"","time",57.47,NA,NA,"sd",-1,49,"",0.534191752218549
"clinchyFearHumanSuper2016","playback","Auditory cues","FIS",150,"Badger","Meles meles","lethal interaction","negative control + positive control","latency","foraging rate + vigilance rate + foraging time + vigilance time","natural predator","wolf",40.3,"","time",84.7,NA,NA,"sd",-1,49,"",0.475796930342385
"clinchyFearHumanSuper2016","playback","Auditory cues","FIS",150,"Badger","Meles meles","lethal interaction","negative control + positive control","latency","foraging rate + vigilance rate + foraging time + vigilance time","positive control","wolf",30.7,"","time",57.47,NA,NA,"sd",-1,49,"",0.534191752218549
"cristinavallinoBehaviouralResponsesHuman2019","correlational","none","FIS",NA,"Alpine Chough","Pyrrhocorax graculus","active interaction","negative control","foraging","foraging time + prob. Flight + density","active disturbance","",-1.846,"duration","coefficient",0.583,NA,NA,"se",-1,154,"",3.1663807890223
"crosmaryVulnerabilityPredationWater2012","correlational","spatial","FIS",120,"Impala","","lethal interaction","negative control","vigilance","vigilance time","Control:hunted","",0.166268587079346," , duration","coefficient",0.00723243145934985,0.366250585687706,0.0394695029985575,"sd",1,267,"hunting-control contrast",22.9893069867118
